"","F1","quality_interval"
"68",0.582,0
"68",0.582,0.05
"68",0.582,0.10
"67",0.585,0.15
"67",0.585,0.25
"67",0.585,0.20
"67",0.585,0.30
"65",0.591,0.35
"64",0.592,0.40
"57",0.598,0.45
"46",0.642,0.50
"35",0.646,0.55
"28",0.658,0.60
"18",0.654,0.65
"12",0.667,0.70
"7",0.693,0.75
"3",0.698,0.80
"68",0.522,0
"68",0.522,0.05
"68",0.522,0.10
"67",0.524,0.15
"67",0.524,0.20
"67",0.524,0.25
"67",0.524,0.30
"65",0.530,0.35
"64",0.528,0.40
"57",0.542,0.45
"46",0.554,0.50
"35",0.559,0.55
"28",0.564,0.60
"18",0.595,0.65
"12",0.599,0.70
"7",0.615,0.75
"3",0.573,0.80
"68",0.27,0.00
"68",0.27,0.05
"68",0.27,0.10
"67",0.273,0.15
"67",0.273,0.20
"67",0.273,0.25
"67",0.273,0.30
"65",0.277,0.35
"64",0.274,0.40
"57",0.276,0.45
"46",0.275,0.50
"35",0.285,0.55
"28",0.278,0.60
"18",0.278,0.65
"12",0.316,0.70
"7",0.365,0.75
"3",0.398,0.80
